The Part,The Price,The Quantity,The Place,Link
Rp pico 2040,$10,1,most electronics,https://mostelectronic.com/shop/arduino-development-boards/raspberry-pi/raspberry-pi-pico/
Stabilizers for Cherry MX,15,1 set,amazon canada,https://www.amazon.ca/gp/product/B0725N5DG7/ref=ox_sc_act_image_1?smid=ANJIJSD0GGURT&psc=1
Red silent Linear Switches,50,110,amazon canada,https://www.amazon.ca/gp/product/B0DCPFBS57/ref=ox_sc_act_image_2?smid=A3DWYIK6Y9EEQB&psc=1
1N4148 Diode,1.5,100,Ram-electronics,https://www.ram-e-shop.com/shop/1n4148-1n4148-high-speed-fast-switching-diode-300ma-100v-5636
oled display,7,2,Flux electronics,https://fluxelectronix.com/shop/1-3-inch-oled-display-module-blue-128x64-4pin-i2c
Keycaps,8,1 set,amazon.eg,https://www.ram-e-shop.com/shop/rpi-pico-w-raspberry-pi-pico-w-wifi-8524
WS2812B-V5/W,6,100,lcsc,https://www.lcsc.com/product-detail/C2874885.html
PCB from JLCPCB without the coupon,33,1,JLCPCB,PCB Printnig
THE TOTAL,130.5$,,,













